馬季,賽事編號,名次,馬號,馬名,騎師,練馬師,實際負磅,排位檔位,獨贏賠率,距離,場地,horse_surface_win_rate,horse_dist_win_rate
26/27,20260913-05,,9,龍文正道,128,何澤堯,128,2,5.8,1200,草地,0.08,0.08
26/27,20260913-05,,10,烈進駒,128,潘頓,128,2,3.9,1200,草地,0.08,0.08
26/27,20260913-05,,11,天天更好,125,巴度,125,10,7.3,1200,草地,0.08,0.08
26/27,20260913-05,,12,浩然,125,楊明綸,125,6,34,1200,草地,0.08,0.08
26/27,20260913-05,,13,領駿輝煌,122,黃寶妮 (-7),122,2,14,1200,草地,0.08,0.08
26/27,20260913-05,,14,觀萬物,117,蔡明紹,117,8,32,1200,草地,0.08,0.08
26/27,20260913-06,,1,捷威,135,何澤堯,135,4,3,1600,草地,0.08,0.08
26/27,20260913-06,,2,爆出美麗,128,艾道拿,128,13,18,1600,草地,0.08,0.08
26/27,20260913-06,,3,幸運威龍,127,潘明輝,127,14,10,1600,草地,0.08,0.08
26/27,20260913-06,,4,勤德天下,126,梁家俊,126,8,11,1600,草地,0.08,0.08
26/27,20260913-06,,5,好運年,124,班德禮,124,3,10,1600,草地,0.08,0.08
26/27,20260913-06,,6,新力飆,122,金誠剛,122,9,13,1600,草地,0.08,0.08
26/27,20260913-06,,7,特別美麗,122,巴度,122,12,19,1600,草地,0.08,0.08
26/27,20260913-06,,8,小飛俠,122,艾兆禮,122,2,15,1600,草地,0.08,0.08
26/27,20260913-06,,9,華麗再贏,122,潘頓,122,11,7,1600,草地,0.08,0.08
26/27,20260913-06,,10,愛心萬里,120,希威森,120,4,51,1600,草地,0.08,0.08
26/27,20260913-06,,11,?路福將,117,蔡明紹,117,1,16,1600,草地,0.08,0.08
26/27,20260913-06,,12,開心旺財,116,田泰安,116,6,21,1600,草地,0.08,0.08
26/27,20260913-06,,13,金駒永騰,116,黃智弘 (-3),116,2,18,1600,草地,0.08,0.08
26/27,20260913-06,,14,彭玥,116,黃寶妮 (-7),116,5,30,1600,草地,0.08,0.08
26/27,20260913-07,,1,準輝煌,135,袁幸堯 (-10),135,11,8,1400,草地,0.08,0.08
26/27,20260913-07,,2,睿智多寶,132,霍宏聲,132,4,16,1400,草地,0.08,0.08
26/27,20260913-07,,3,部族高手,131,周俊樂 (-2),131,1,8.8,1400,草地,0.08,0.08
26/27,20260913-07,,4,加州熱浪,131,艾道拿,131,12,8.5,1400,草地,0.08,0.08
26/27,20260913-07,,5,步風影,130,潘頓,130,13,4.5,1400,草地,0.08,0.08
26/27,20260913-07,,6,愛馬心,129,奧爾民,129,10,14,1400,草地,0.08,0.08
26/27,20260913-07,,7,量子猴王,129,鍾易禮 (-2),129,6,8.9,1400,草地,0.08,0.08
26/27,20260913-07,,8,龍城強將,127,金誠剛,127,7,10,1400,草地,0.08,0.08
26/27,20260913-07,,9,玄宇宙,126,何澤堯,126,2,38,1400,草地,0.08,0.08
26/27,20260913-07,,10,喜駿昇星,126,希威森,126,9,33,1400,草地,0.08,0.08
26/27,20260913-07,,11,巴閉仔,126,潘明輝,126,5,22,1400,草地,0.08,0.08
26/27,20260913-07,,12,活力精神,124,梁家俊,124,6,22,1400,草地,0.08,0.08
